time,x_pos,y_pos,frame,num_pulse,stim_duration,tank,date,order
792.0335,-8.708025,36.252124,,7,0,C,5/19/17,2
792.6008,-32.108175,9.484052,,2,0,C,5/19/17,2
792.6174,-24.201275,27.388524,,3,0,C,5/19/17,2
792.6341,-26.658825,29.24988,,3,0,C,5/19/17,2
792.6508,-27.727325,31.643052,,1,0,C,5/19/17,2
793.0012,-10.89845,15.334028,,3,0,C,5/19/17,2
793.0345,-7.90665,22.779452,,1,0,C,5/19/17,2
793.4016,-13.729975,1.77272,,1,0,C,5/19/17,2
793.6685,-34.031475,0.265908,,1,0,C,5/19/17,2
795.1867,-33.069825,2.924988,,1,0,C,5/19/17,2
898.7735,-4.968275,6.6477,,1,0,C,5/19/17,2
899.4408,-12.5012,23.93172,,1,0,C,5/19/17,2
899.7745,-15.439575,32.883956,,3,0,C,5/19/17,2
900.0414,-12.875175,17.28402,,2,0,C,5/19/17,2
900.0748,-31.7342,1.506812,,2,0,C,5/19/17,2
900.4418,-2.671,22.690816,,5,0,C,5/19/17,2
900.7088,-2.297025,34.833948,,5,0,C,5/19/17,2
900.8589,-36.54245,17.28402,,4,0,C,5/19/17,2
901.009,-22.3314,4.077256,,4,0,C,5/19/17,2
901.2426,-26.551975,25.083988,,7,0,C,5/19/17,2
901.3427,-5.55595,5.938612,,5,0,C,5/19/17,2
901.3928,-7.532675,7.09088,,4,0,C,5/19/17,2
901.7765,-32.3753,12.940856,,6,0,C,5/19/17,2
902.0434,-21.316325,10.281776,,7,0,C,5/19/17,2
902.0768,-23.667025,31.554416,,2,0,C,5/19/17,2
902.1102,-27.086225,11.0795,,3,0,C,5/19/17,2
902.1435,-26.445125,5.052252,,3,0,C,5/19/17,2
902.1602,-26.658825,1.063632,,2,0,C,5/19/17,2
902.2436,-13.623125,5.31816,,6,0,C,5/19/17,2
902.8109,-21.850575,28.629428,,5,0,C,5/19/17,2
902.8776,-18.0574,29.072608,,3,0,C,5/19/17,2
903.1445,-15.7067,29.338516,,1,0,C,5/19/17,2
903.1779,-17.790275,8.331784,,4,0,C,5/19/17,2
903.5116,-33.497225,28.36352,,3,0,C,5/19/17,2
903.5449,-33.12325,12.586312,,2,0,C,5/19/17,2
